639133998,rust-lang/rust,2020-06-15,2019-12-15,125241,11838
643360992,libretro/RetroArch,2020-06-22,2019-12-22,50219,1806
652371218,heroku/heroku-buildpack-ruby,2020-07-07,2020-01-07,1743,63
652809371,angular/angular,2020-07-08,2020-01-08,18946,2215
654775761,ipython/ipython,2020-07-10,2020-01-10,23882,189
657523246,sinonjs/sinon,2020-07-15,2020-01-15,3077,89
663559628,sinonjs/sinon,2020-07-22,2020-01-22,3078,79
669419291,google/WebFundamentals,2020-07-31,2020-01-31,10051,14
670691047,rust-lang/rust,2020-08-01,2020-02-01,128065,11787
704818674,jamulussoftware/jamulus,2020-09-19,2020-03-19,2554,956
707573131,FreeRADIUS/freeradius-server,2020-09-23,2020-03-23,23404,148
708907357,nextcloud/server,2020-09-25,2020-03-25,37581,180
709556703,fluentmigrator/fluentmigrator,2020-09-26,2020-03-26,2389,58
722281859,vuepress-theme-hope/vuepress-theme-hope,2020-10-15,2020-04-15,0,0
723058396,doctrine/dbal,2020-10-16,2020-04-16,7904,29
723862818,James-Yu/LaTeX-Workshop,2020-10-17,2020-04-17,2826,364
724775047,TeamNewPipe/NewPipeExtractor,2020-06-01,2019-12-01,740,322
727127817,rubygems/rubygems,2020-10-22,2020-04-22,20599,300
732267627,FreeRADIUS/freeradius-server,2020-10-29,2020-04-29,23432,165
741692283,symfony/symfony,2020-11-12,2020-05-12,50920,2913
747855745,EbookFoundation/free-programming-books,2020-11-20,2020-05-20,5161,0
761569005,Rapptz/discord.py,2020-12-10,2020-06-10,2545,189
765312275,James-Yu/LaTeX-Workshop,2020-12-13,2020-06-13,2941,328
770384781,flutter/flutter,2020-12-17,2020-06-17,25703,2541
774501385,deepmodeling/deepmd-kit,2020-12-24,2020-06-24,468,75
774727384,ipython/ipython,2020-12-25,2020-06-25,24059,189
777338361,spring/spring,2021-01-01,2020-07-01,28019,70
786108116,pandas-dev/pandas,2021-01-14,2020-07-14,21108,5
795394794,flutter/flutter,2021-01-27,2020-07-27,26240,2535
795993177,doctrine/orm,2021-01-28,2020-07-28,10817,9
807725060,rstudio/rstudio,2021-02-13,2020-08-13,29916,1477
814421264,expressjs/express,2021-02-23,2020-08-23,5682,8
814840135,microsoft/clrmd,2021-02-23,2020-08-23,462,0
831174119,GTNewHorizons/GT-New-Horizons-Modpack,2021-03-14,2020-09-14,5391,369
843213515,MvvmCross/MvvmCross,2021-03-29,2020-09-29,8163,14
851350444,symfony/symfony,2021-04-06,2020-10-06,52902,2666
855420175,jquery/jquery,2021-04-11,2020-10-11,6292,0
857092857,binogure-studio/city-game-studio-i18n,2021-04-13,2020-10-13,430,43
869840472,GoldenCheetah/GoldenCheetah,2021-04-28,2020-10-28,9564,129
877864027,nodejs/node,2021-05-06,2020-11-06,26293,930
891698219,doctrine/orm,2021-05-14,2020-11-14,10842,25
894598837,Leaflet/Leaflet,2021-05-18,2020-11-18,6756,0
896726233,Leaflet/Leaflet,2021-05-20,2020-11-20,6756,0
900635226,hashicorp/terraform,2021-05-25,2020-11-25,24712,559
900662967,SubnauticaNitrox/Nitrox,2021-05-25,2020-11-25,813,13
902425731,frappe/erpnext,2021-05-26,2020-11-26,31022,1346
904754673,rust-lang/rust,2021-05-28,2020-11-28,146060,10468
906427489,libretro/RetroArch,2021-05-29,2020-11-29,53022,999
907232677,zeromq/libzmq,2021-05-31,2020-12-01,7483,52
908088395,pandas-dev/pandas,2021-06-01,2020-12-01,21110,4
914128991,PCSX2/pcsx2,2021-06-08,2020-12-08,12273,726
917355114,matplotlib/matplotlib,2021-06-10,2020-12-10,31862,1022
