id,issue_id,project_name,startDate,endDate,count_before,count_halfyear
120,503598709,AvaloniaUI/Avalonia,2019-10-07T17:51:00Z,2022-07-26T16:10:57Z,7816,1009
121,510675125,composer/composer,2019-10-22T13:57:33Z,2020-02-18T08:37:16Z,7746,62
122,518811026,mrdoob/three.js,2019-11-06T21:36:20Z,2019-11-09T02:19:51Z,26217,2001
123,522727008,Sonarr/Sonarr,2019-11-14T09:24:09Z,2022-11-26T22:07:59Z,8053,224
124,524307759,strapi/strapi,2019-11-18T11:31:42Z,2022-01-05T22:27:04Z,6502,1305
125,525140367,php/php-src,2019-11-19T17:01:19Z,2021-12-28T15:28:27Z,79125,3409
126,528942466,chocolate-doom/chocolate-doom,2019-11-26T19:59:57Z,2019-12-05T17:02:11Z,4229,36
127,530232265,doctrine/orm,2019-11-29T09:07:24Z,2019-11-30T21:31:22Z,5754,18
128,530975624,doctrine/dbal,2019-12-02T08:42:40Z,2019-12-02T09:09:50Z,3054,14
129,532874644,hashicorp/vagrant,2019-12-04T19:02:30Z,2019-12-04T19:46:50Z,11439,290
130,534580041,kangax/compat-table,2019-12-08T18:21:26Z,2019-12-08T18:21:26Z,2750,159
131,534580474,kangax/compat-table,2019-12-08T18:25:04Z,2019-12-08T18:36:01Z,2750,159
132,534583789,nim-lang/Nim,2019-12-08T18:53:54Z,2020-07-01T14:54:33Z,15208,772
133,540979735,GoldenCheetah/GoldenCheetah,2019-12-20T12:50:02Z,2020-02-22T18:07:40Z,8568,113
134,542105846,microsoft/vscode-python,2019-12-24T11:54:51Z,2022-12-20T15:27:01Z,1603,79
135,544017763,jashkenas/coffeescript,2019-12-30T21:32:10Z,2019-12-31T14:17:57Z,4531,39
136,544279140,pallets/jinja,2019-12-31T22:09:04Z,2020-01-15T16:16:06Z,1758,14
137,544542483,strapi/strapi,2020-01-02T11:29:06Z,2022-01-05T22:32:15Z,7070,1720
138,548445007,GoldenCheetah/GoldenCheetah,2020-01-11T15:47:22Z,2020-01-12T11:26:23Z,8589,130
139,549848681,tpope/vim-fugitive,2020-01-14T22:12:33Z,2020-01-16T05:42:07Z,1403,299
140,554355383,ytdl-org/youtube-dl,2020-01-23T19:23:06Z,2020-01-23T19:29:44Z,12373,213
